isbn,title,book_author,year_of_publication,publisher,stock
034540288X,The Lost World,Michael Crichton,1996,Ballantine Books,87
0061073091,Resist or Serve (The Official Guide to the X-Files, Vol. 4),Andy Meisler,1999,83
0786808772,Summerland,Michael Chabon,2002,Miramax Kids,31
0553234609,Dragonsong,Anne McCaffrey,1977,Bantam Books,56
0553258540,Dragonsinger (Harper Hall Trilogy),Anne McCaffrey,1989,Bantam Books,34
0802713661,Brunelleschi's Dome: How a Renaissance Genius Reinvented Architecture,Ross King,2000,Penguin Books,74
0440237688,The Giver (Readers Circle),LOIS LOWRY,2002,Laurel Leaf,24
0679884394,D. W.'S Color Book,MARC BROWN,1997,Random House Books for Young Readers,53
1582970262,The Writers Complete Fantasy Reference: An Indispensable Compendium of Myth and Magic,Writer's Digest Books,2000,Writer's Digest Books,34
1566091446,Photoshop 3 for Macintosh (Visual Quickstart Guide),Elaine Weinmann,1995,Peachpit Press,24
0553577395,Starfire (Bantam Spectra),Charles Sheffield,2000,Spectra Books,55
0671698419,BORDERS OF INFINITY,Lois McMaster Bujold,1989,Baen,88
0425167720,An Instance of the Fingerpost,Iain Pears,1999,Berkley Publishing Group,99
006105660X,Washington's Dirigible (Timeline Wars/John Barnes, No 2),John Barnes,1997,96
0609610597,The Shelters of Stone (Earth's Children Series, No 5),JEAN M. AUEL,2002,88
0446519960,Absolute Power,David Baldacci,1996,Warner Books,21
0374281602,Reversible Errors: A Novel,Scott Turow,2002,Farrar Straus Giroux,82
0140251839,Finding the Right Place at the Right Time, Everything You Need to Know About Retirement Housing,Joan Cleveland,1996,79
0399519831,Inside Corporate America: A Guide for African Americans,Wilson, III Simmons,1996,81
0425159795,California Rush: A Novel,Sherwood Kiraly,1997,Berkley Publishing Group,39
0140255370,A Boy Named Phyllis: A Suburban Memoir,Frank Decaro,1997,Penguin Books,54
0394543971,The Icarus Agenda,Robert Ludlum,1988,Random House Value Pub,51
0060970790,The Man Who Mistook His Wife for a Hat: And Other Clinical Tales,Oliver Sacks,1987,Harpercollins,37
0156787334,A Room of One's Own,Virginia Woolf,1989,Harcourt,23
0448095300,The Clue of the Velvet Mask (Nancy Drew (Hardcover)),Carolyn Keene,1953,Grosset &amp,63
1569314195,Pokemon Tales : Where's Clefairy's Voice? (Pokemon Tales),Junko Wada,1999,VIZ LLC,87
0060908548,Inanna,Diane Wolkstein,1983,Perennial,16
0028606353,Frommer's 96 Frugal Traveler's Guides: Europe from $50 a Day (Serial),Alice Garrard,1995,John Wiley &amp,27
0316182540,White Oleander : A Novel,Janet Fitch,2001,Little,55
0553343874,Emmanuel's Book: A Manual for Living Comfortably in the Cosmos,Pat Rodegast,1987,Bantam,7
0881845906,The Mammoth Book of Ghost Stories,Richard Dalby,1990,Pub Group West,30
0446355224,Midnight Blue,Dorothy Garlock,1989,Warner Books,53
0061030953,Wild Thorn,William Hoffman,2003,Avon Books,10
0316919896,A Supposedly Fun Thing I'll Never Do Again : Essays and Arguments Tag: Author of Infinite Jest,David Foster Wallace,1997,Little,21
0553299506,Private Eyes (Alex Delaware Novels (Paperback)),Jonathan Kellerman,1992,Bantam Books,53
0446611611,City of Bones,Michael Connelly,2003,Warner Books,39
0446604658,Lucky You,Carl Hiaasen,1998,Warner Vision,81
0553282476,CAT'S EYE,MARGARET ATWOOD,1989,Bantam,16
0449212602,The Handmaid's Tale,Margaret Atwood,1989,Fawcett Books,33
0684867621,The Girl Who Loved Tom Gordon : A Novel,Stephen King,1999,Scribner,11
0451147375,Blood Test,Jonathan Kellerman,1987,Signet Book,82
0345413903,The Murder Book,Jonathan Kellerman,2003,Ballantine Books,56
0451178033,When the Bough Breaks,Jonathan Kellerman,1993,Signet Book,4
0590634275,Captain Underpants and the Attack of the Talking Toilets: Another Epic Novel (Captain Underpants (Paper)),Dav Pilkey,1999,Scholastic,53
0330294377,Falling Towards England,Clive James,0,Pan Books Ltd,36
0061031569,Absolute Zero,Chuck Logan,2003,HarperTorch,76
3257228007,Das Parfum: Die Geschichte Eines Morders,Patrick Suskind,1994,Distribooks Inc,37
0553582143,Body of Lies,IRIS JOHANSEN,2003,Bantam,97
0743202961,Every Breath You Take : A True Story of Obsession, Revenge, and Murder,Ann Rule,25
0060002492,Amazonia,James Rollins,2003,Avon Books,95
0399148620,Acid Row,Minette Walters,2002,Putnam Publishing Group,62
0786866462,A Density of Souls,Christopher Rice,2000,Miramax,80
0679426159,Standing in the Rainbow : A Novel,FANNIE FLAGG,2002,Random House,88
0671020315,Raven (Orphans),V.C. Andrews,1998,Pocket,83
0316569321,White Oleander : A Novel,Janet Fitch,1999,Little,73
067169071X,EVERYTHING SHE EVER WANTED,Ann Rule,1993,Pocket,21
0679732241,The Sound and the Fury (Vintage International),WILLIAM FAULKNER,1991,Vintage,87
0451117670,Manitous Daughter Indian Heritage 1,Joseph Lederer,0,Penguin Putnam~mass,73
0451402251,Born of the Sun,Joan Wolf,1991,New Amer Library,47
042513301X,A Cold Day for Murder,Dana Stabenow,1992,Berkley Publishing Group,63
1558175326,The White Puma,R.D. Lawrence,1991,Pinnacle Books,94
0449214982,Trust Me,John Updike,1990,Fawcett Books,33
0515090174,The Cat Who Could Read Backwards,Lilian Jackson Braun,1994,Jove Books,27
0515095826,The Cat Who Knew Shakespeare,Lilian Jackson Braun,1988,Jove Books,12
0515111279,The Cat Who Wasn't There,Lilian Jackson Braun,1994,Jove Books,83
0671555235,A Caribbean Mystery,Agatha Christie,1984,Pocket,12
1570719586,God-Shaped Hole,Tiffanie DeBartolo,2002,Sourcebooks Landmark,34
3492232981,Afrikanisches Fieber. Erfahrungen aus vierzig Jahren.,Ryszard Kapuscinski,2001,Piper,31
0553580876,Sympathy for the Devil,Kent Anderson,2000,Bantam Books,96
0385475713,Alias Grace,Margaret Atwood,1996,Nan A. Talese,89
0345290232,Third Eye,Rampa Lobsang,1980,Not Avail,32
0345441753,Criminal Intent,WILLIAM BERNHARDT,2003,Fawcett,37
0425045250,Exiles Trilogy From Earth,Ben Bova,1980,Penguin Putnam~mass,25
0689825234,HABIBI,Naomi Shihab Nye,1999,Simon Pulse,15
0553375407,Ishmael: An Adventure of the Mind and Spirit,Daniel Quinn,1995,Bantam,16
1863714081,Edge of the sacred: Transformation in Australia,David J Tacey,1995,HarperCollinsPublishers,26
0151006903,Baudolino,Umberto Eco,2002,Harcourt,86
1931561281,The Australia Stories: A Novel,Todd James Pierce,2003,MacAdam/Cage Publishing,80
038080350X,Crescent City Rhapsody,Kathleen Ann Goonan,2001,Eos,84
0679744479,Written on the Body,Jeanette Winterson,1994,Vintage Books USA,77
8401466350,Cinco días en París,Danielle Steel,1996,Plaza &amp,30
1562477676,Molly Takes Flight (American Girls Short Stories),Valerie Tripp,1999,Pleasant Company Publications,92
0789414708,Pregnancy and Birth: Your Questions Answered,Christof Lees,2002,Dorling Kindersley,43
0425115801,Lightning,Dean R. Koontz,1996,Berkley Publishing Group,91
0345454073,The Homing,John Saul,2002,Ballantine Books,49
0312983654,The Wire in the Blood (A Dr. Tony Hill &amp, Carol Jordan Mystery),Val McDermid,2002,83
0671024248,Hearts In Atlantis,Stephen King,2000,Pocket,1
0553582933,Winter Moon,Dean R. Koontz,2001,Bantam Books,60
0671034022,Mercy,Julie Garwood,2002,Pocket,28
0440208149,An Acceptable Time,Madeleine L'Engle,1990,Laure Leaf,68
0451151259,Eyes of the Dragon,Stephen King,1988,Penguin Putnam~mass,60
0375727132,The Dive From Clausen's Pier : A Novel (Vintage Contemporaries (Paperback)),ANN PACKER,2003,Vintage,51
0446607711,The Simple Truth,David Baldacci,1999,Warner Books,22
0765301954,Fitcher's Brides (Fairy Tales),Gregory Frost,2003,Tor Books,70
014029645X,Sherlock Holmes and the Rune Stone Mystery (Sherlock Holmes Mysteries (Penguin)),Larry Millett,2000,Penguin Books,48
0445085614,The Emigrants,Vilhelm Moberg,1951,Warner Books> C/o Little Br,23
0345416880,Enchantment,Orson Scott Card,2000,Del Rey Books,85
0312874006,Angel of Darkness (Key Books),Charles de Lint,2002,Orb Books,38
0028621239,The Complete Idiot's Guide to Knitting &amp, Crocheting,Gail Diven,1999,23
1593080743,The Age of Innocence,Edith Wharton,2004,Barnes &amp,7
0380771292,Black Thorn, White Rose,Ellen Datlow,1995,46
0805051589,All the Way to Heaven: An American Boyhood in the Himalayas,Stephen Alter,1998,Henry Holt &amp,90
0312314256,Year's Best Fantasy and Horror: Sixteenth Edition,Terri Windling,2003,St. Martin's Griffin,84
0445202718,Gloriana,Michael Moorcock,1986,Warner Books,98
0316136778,Love and Longing in Bombay : Stories,Vikram Chandra,1998,Back Bay Books,66
0385483503,Arranged Marriage: Stories,Chitra Banerjee Divakaruni,1996,Anchor,3
0590486101,Black Beauty (Apple Classics),Anna Sewell,1994,Scholastic Paperbacks,98
0060187271,The Last Report on the Miracles at Little No Horse,Louise Erdrich,2001,HarperCollins Publishers,90
0385497288,The Unknown Errors of Our Lives: Stories,Chitra Banerjee Divakaruni,2002,Anchor Books/Doubleday,6
038548951X,Sister of My Heart,Chitra Banerjee Divakaruni,2000,Anchor Pub,81
0345386256,A Guide to the Star Wars Universe,Bill Slavicsek,1994,Del Rey Books,91
0879517980,The Book of the Dead (The Paradys Series , Vol 3),Tanith Lee,1997,69
0131554255,Calliope's Sisters: A Comparative Study of Philosophies of Art,Richard L. Anderson,1989,Pearson Education,33
0679725164,No Exit and Three Other Plays (Vintage International),Jean Paul Sartre,1989,Vintage Books USA,65
061830245X,Crackpots : A Novel,Sara Pritchard,2003,Mariner Books,3
006015456X,Always Coming Home/Paperback Book and Cassette,Ursula K. Le Guin,1985,Harperaudio,27
0312278675,Steppenwolf: A Novel,Hermann Hesse,2002,Picador,82
0060512806,Cryptonomicon,Neal Stephenson,2002,Avon Books,100
0060901012,Brave New World &amp, Brave New World Revisited,Aldous Huxley,1942,37
0060930071,The Antelope Wife : A Novel,Louise Erdrich,1999,Perennial,69
0060972459,Tracks RI,Louise Erdrich,2004,Perennial,74
0805012478,Steppenwolf,Hermann Hesse,1990,Henry Holt &amp,98
0060975547,Love Medicine,Louise Erdrich,1993,Perennial,18
0375704000,Freedom Song: Three Novels,Amit Chaudhuri,2000,Vintage Books USA,65
0609806505,Guenevere, Queen of the Summer Country (Guenevere Novels (Paperback)),ROSALIND MILES,2000,4
0965624773,Finding Laura Buggs,Stanley Gordon West,1999,Lexington-Marshall Pub.,10
0060977507,The Beet Queen : A Novel,Louise Erdrich,1998,Perennial,70
055326396X,Arctic Dreams: Imagination and Desire in a Northern Landscape,Barry Lopez,1993,Bantam Books,22
0812505166,Wuthering Heights,Emily Bronte,1989,Tor Classics,37
0440234824,The Sibyl in Her Grave,Sarah Caudwell,2001,Dell Publishing Company,63
0393312801,The Acid House,Irvine Welsh,1995,W. W. Norton &amp,17
0446525804,Last Man Standing,David Baldacci,2001,Warner Books,54
0446516570,Up Country: A Novel,Nelson DeMille,2002,Warner Books,82
0312868308,Flesh and Gold,Phyllis Gotlieb,1999,Tor Books,6
0380752298,The White Raven,Dianna L. Paxson,1989,Harper Mass Market Paperbacks (Mm),21
0345434773,Evensong (Ballantine Reader's Circle),Gail Godwin,2000,Ballantine Books,20
0786005998,Dare to Dream,Wynema McGowan,1998,Pinnacle Books,95
0385254520,Keeper n' Me,RICHARD WAGAMESE,1994,Anchor Canada,52
0060170441,Eat Smart, Think Smart: How to Use Nutrients and Supplements to Achieve Maximum Mental and Physical Performance,Robert Haas,1994,88
0590431536,The Girl in the Window,Wilma Yeo,1995,Scholastic Paperbacks (Mm),33
0712646221,Negaholics,Scott,1991,Not Avail,58
0749318368,Suddenly,Barbara Delinsky,1995,Mandarin,26
0515122491,The Maze,Catherine Coulter,1998,Jove Books,51
051512902X,After Dark,Jayne Castle,2000,Jove Books,23
0812530314,The Grey Beginning,Barbara Michaels,1992,Tor Books,7
0552138223,The Cat Who Came in from the Cold,Deric Longden,1992,Acacia Press,62
0515131091,Out of This World,J. D. Robb,2001,Jove Books,17
0380791382,Out of Time : A Casey Jones Mystery (Casey Jones Mysteries),Katy Munger,1998,Avon,20
0091880955,The Luberon Garden,Alex Dingwall-Main,2002,Ebury Press,94
0563537329,The Mind Map Book: Millennium Edition,Tony Buzan,2000,BBC Consumer Publishing,85
8401427177,Vieja Sirena, La,Jose Luis Sampedro,1998,73
8435015521,Justine - El Cuarteto de Alejandria I,Lawrence Durrell,1999,Edhasa,84
0140265686,Out to Canaan (The Mitford Years),Jan Karon,1998,Viking Books,51
0140257934,These High, Green Hills (The Mitford Years),Jan Karon,1997,14
0140254544,A Light in the Window (The Mitford Years),Jan Karon,1996,Penguin Books,71
0446603708,Clay's Ark,Octavia E. Butler,1996,Warner Books,87
0446606723,Wild Seed,Octavia E. Butler,1999,Aspect,28
0451524934,1984,George Orwell,1990,Signet Book,17
0679721819,Mama Day (Vintage Contemporaries),Gloria Naylor,1989,Vintage Books USA,71
0345392825,Reviving Ophelia: Saving the Selves of Adolescent Girls (Ballantine Reader's Circle),Mary Pipher,1995,Ballantine Books,65
0060182792,Anam Cara : A Book of Celtic Wisdom,John O'Donohue,1997,HarperCollins,43
0393038440,God's Chinese Son: The Taiping Heavenly Kingdom of Hong Xiuquan,Jonathan D. Spence,1996,W. W. Norton &amp,18
0737020121,Cooking for Yourself (Williams-Sonoma Lifestyles , Vol 12, No 20),Janet Kessel Fletcher,30
0679745645,Other Voices, Other Rooms (Vintage International),Truman Capote,1994,10
1569470901,Rebuilding Coventry: A Tale of Two Cities,Sue Townsend,1997,Soho Press,34
0671027123,All Through the Night (Holiday Classics),Mary Higgins Clark,1999,Pocket,94
0375412972,Yeats Is Dead! A Mystery by 15 Irish Writers,Roddy Doyle,2001,Alfred A. Knopf,47
0449225151,A Place Called Freedom,Ken Follett,1996,Fawcett Books,37
0590449737,Body Battles,Rita Golden Gelman,1992,Scholastic,23
0892816562,The Complete I Ching: The Definitive Translation by the Taoist Master Alfred Huang,Alfred Huang,1998,Inner Traditions International,8
8440691475,El Poder Curativo de La Mente,Tulku Thondup Rinpoche,2000,Ediciones B,29
8466307982,La joven de la perla,Tracy Chevalier,2002,Santillana USA Publishing Company,82
0765342405,Ender's Shadow,Orson Scott Card,2002,Starscape Books,87
844062719X,Maestro Cantor,Orson Scott Card,1993,Ediciones B,79
8420441732,Ventajas de viajar en tren,Antonio Orejudo,2000,Alfaguara,70
0345350499,The Mists of Avalon,MARION ZIMMER BRADLEY,1987,Del Rey,13
844507119X,Fahrenheit 451 - T.D. -,Ray Bradbury,1997,Minotauro,98
0689837070,Tithe,Holly Black,2003,Simon &amp,5
0671041177,Immortal: Buffy the Vampire Slayer (Buffy The Vampire Slayer),Christopher Golden,1999,Simon Spotlight Entertainment,64
8466300708,Manana En La Batalla Piensa En Mi - Bolsillo,Javier Marias,2001,Suma de Letras,45
0312976275,Hot Six : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,2001,St. Martin's Paperbacks,76
0767905180,Jemima J: A Novel About Ugly Ducklings and Swans,Jane Green,2001,Broadway Books,68
0743482891,Now You See Her,Linda Howard,2003,Pocket Books,6
037383232X,Sweet Promise,Janet Dailey,1991,Harlequin,100
1551666200,Sarah'S Child - Hardcover,Linda Howard,2000,Mira,36
0373242328,The Perfect Neighbor (The Macgregors) (The Macgregors : Special Edition Series, No 1232),Nora Roberts,1999,78
0373709102,That Cowboy'S Kids (Home On The Ranch) (Harlequin Superromance, No. 910),Debra Salonen,2000,95
0517077744,Sandra Brown: Three Complete Novels,SANDRA BROWN,1992,Wings,81
0449210197,Crows,Charles Dickinson,1986,Fawcett Books,58
0373709617,Coming Home To You (Harlequin Super Romance, No 961),Fay Robinson,2001,60
0373510225,Sullivan'S Woman #22 (Nora Roberts : Language of Love, on 22),Nora Roberts,1992,30
0373301529,Mustang Man (Western Lovers, 4),Lee Magner,1998,79
0373273193,Racing Against Time : Cavanaugh Justice (Intimate Moments),Marie Ferrarella,2003,Silhouette,40
0373301626,His and Hers: Ranchin' Dads (Harlequin - Western Lovers),Pamela Bauer,1987,Harlequin,55
0373271867,That Kind Of Girl (Silhouette Intimate Moments, No. 1116),Kim Mckade,2001,70
0373240228,Fall Of Shane Mackade (The Mackade Brothers) (Silhouette Special Edition, No 1022),Nora Roberts,1996,92
059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,1999,Arthur A. Levine Books,50
0373764146,Tycoon'S Temptation (Silhouette Desire, No. 1414),Katherine Garbera,2002,18
037325928X,Walk On The Wild Side (Harlequin Temptation, No 828),Donna Kauffman,2001,98
0446529788,A Kiss Remembered: A Classic Love Story,Sandra Brown,2002,Warner Books,16
044652767X,Seduction by Design,Sandra Brown,2001,Warner Books,67
0743246918,Silent Night/All Through the Night : Two Christmas Novels,Mary Higgins Clark,2002,Simon &amp,14
0373301847,Return to Yesterday (Western Lovers Reunited Hearts),Annette Broadrick,1987,Harlequin Books SA,92
0373708351,Doctor'S Daughter  (Men Of Glory) (Harlequin Superromance, 835),Judith Bowen,1999,6
1551664690,Dimedici Bride,Heather Graham Pozzessere,1999,Mira,56
0789491869,Washington, D.C. (Eyewitness Top 10 Travel Guides),Ron Burke,2003,85
0373835426,Witchcraft,Jayne Ann Krentz,2003,Harlequin,30
0373691157,Hot Off the Press,Nancy Warren,2003,Harlequin,79
0373301537,Painted Sunsets (Western Lovers Ranch Rogues),Rebecca Flanders,1987,Harlequin Enterprises Limited,62
0373258674,Valentine Fantasy (Fantasy For Hire) (Harlequin Temptation, No. 767),Jamie Denton,2000,24
037330174X,Wellspring (Western Lovers, 26),Curtiss Ann Matlock,1998,2
0312968256,Lady's Man,Suzanne Simmons,1999,St. Martin's Press,35
0451205650,The Fortune Hunter (Signet Regency Romance),Diane Farr,2002,Signet Book,98
0316089699,Sea Glass: A Novel,Anita Shreve,2003,Back Bay Books,1
1551669404,Just Over The Mountain,Robyn Carr,2002,Mira,93
0373708319,Man I Used To Know  (Love That Man) (Harlequin Superromance, 831),Margot Dalton,1999,39
0373706545,Done Driftin' (The Dunleavy Legacy) (Harlequin Superromance, No 654),Janis Flores,1995,68
0373871945,Mountain Laurel (Love Inspired (Numbered)),Kate Welsh,2002,Steeple Hill,84
0671671138,TREASURE-CUSSLER,Clive Cussler,1988,Pocket,44
0449287092,The Sword of Orion,Robin A. White,1995,Fawcett Books,6
0671700081,ICE WARRIOR,Richard Parry,1991,Pocket,61
0821724231,Beneath the Silent Sea,Richard P. Henrick,1988,Zebra/pinnacle Books,42
0380804670,The Silent Service: Los Angeles Class,H. Jay Riker,2001,Avon,24
0812516192,Maximum Impact,Jean Heller,1995,Tor Books (Mm),18
0425109267,Supercarrier: An Inside Account of Life Aboard the World's Most Powerful Ship, the Uss John F. Kennedy,George C. Wilson,1992,68
0380710005,CW2    (CO),L. HEATH,1991,Avon,5
0553126911,Wolfs-Bane,Craig Thomas,1979,Bantam Books,81
055320923X,Silent Sea,Harry Homewood,1984,Bantam Books,90
8880892207,Anima mundi (Romanzi e racconti),Susanna Tamaro,1997,Baldini &amp,6
8806163698,Il Giovane Holden,J. D. Salinger,2003,Distribooks Inc,78
8807810360,Una Donna,Aleramo,0,Feltrinelli,70
8466302263,El Ultimo Judio (Punto de Lectura),Noah Gordon,2003,Punto de Lectura,66
0140348107,My Side of the Mountain,Jean Craighead George,2000,Scott Foresman (Pearson K-12),29
0884092097,Kaleidoscope,June Stepansky,2000,A Different Voice Publishing Co.,48
0884092119,A Different Voice,June Stepansky,2001,A Different Voice Publishing Co.,58
0803263724,My Antonia (Willa Cather Scholarly Edition Series),Willa Cather,1997,Bison,32
0060506679,Every Secret Thing : A Novel,Laura Lippman,2003,William Morrow,93
0375701427,American Pastoral,Philip Roth,1998,Vintage,53
0553135457,Sophies Choice,William Styron,0,Bantam Doubleday Dell,53
0812504364,A Connecticut Yankee in King Arthur's Court,Mark Twain,1997,Tor Books,63
0380000830,The Guns of Avalon (Chronicles of Amber),Roger Zelazny,1996,Harper Mass Market Paperbacks (Mm),85
0380014300,Nine Princes In Amber,Roger Zelazny,1977,Avon,24
0895773570,Flower Arranging (Rd Home Handbooks),Malcolm Hillier,1990,Reader's Digest Association,91
0330312367,Year In Provence,Peter Mayle,0,Pan Books Ltd,92
2277238929,De Bons Presages,T. Pratchett,1997,Editions 84,63
2743606789,Du bon usage de la lenteur,Pierre Sansot,2000,Rivages,6
2253001279,Journal De Anne Frank,Anne Frank,2003,Livre De Poche French,76
2253047422,Le Pigeon,Patrick Suskind,0,Livre De Poche French,58
8806160427,L'Ultimo Natale Di Guerra: A Cura Di Marco Belpoliti,Primo Levi,2003,Distribooks Inc,63
0553255142,Man from the Broken Hills,Louis L'Amour,1975,Bantam Books,61
9500703203,El Amor En Los Tiempos Del Colera / Love in the Times of Cholera,Gabriel Garcia Marquez,1987,Sudamericana,63
843760494X,Cien Años de Soledad,Gabriel García Márquez,1994,Ediciones Catedra S.A.,56
0345406516,The Aguero Sisters (Ballantine Reader's Circle),Cristina Garcia,1998,Ballantine Books,21
0312281250,The Ghost of Hannah Mendes,Naomi Ragen,2001,St. Martin's Griffin,95
0385490461,Seraglio,Janet Wallach,2003,Nan A. Talese,83
0060936363,Portrait in Sepia : A Novel,Isabel Allende,2002,Perennial,100
038082101X,Daughter of Fortune: A Novel,Isabel Allende,2001,HarperTorch,24
0849943663,The Pearl (Women of Faith Fiction),Angela Elwell Hunt,2003,WestBow Press,98
3453099613,Schatten �?¼ber den Weiden.,Nora Roberts,1996,Heyne,10
1574534106,Shadow of the Hegemon,Orson Scott Card,2002,Audio Literature,51
0380977745,April Fool Dead: A Death on Demand Mystery,Carolyn G. Hart,2002,William Morrow &amp,93
1558747028,Chicken Soup for the College Soul : Inspiring and Humorous Stories for College Students (Chicken Soup for the Soul),Jack Canfield,1999,Health Communications,93
0618050140,The Ledge,Michael Collier,2000,Houghton Mifflin Company,30
0312774842,Substitute Teaching: A Handbook for Hassle-Free Subbing,Barbara Pronin,1983,St. Martin's Press,23
1579213405,Emotional Purity : An Affair of the Heart,Heather Arnel Paulsen,2001,Winepress Publishing,60
0671708635,Seven Habits Of Highly Effective People,Stephen R. Covey,1990,Free Press,22
0812970101,The Mysterious Affair at Styles : A Detective Story (Modern Library Classics),AGATHA CHRISTIE,2003,Modern Library,66
0375727566,Yeats Is Dead! (Vintage Crime/Black Lizard),Joseph O'Connor,2002,Vintage Books USA,15
0373630468,Worse Than a Crime,Anne Burton,1982,Harlequin,81
0671676652,A Question of Guilt,Frances Fyfield,1990,Pocket,90
0553250655,Puppet for a Corpse,Dorothy Simpson,1985,Bantam Books,13
0399139125,River of Hidden Dreams,Connie May Fowler,1994,Putnam Pub Group,57
0553377884,Skinny Legs and All,Tom Robbins,1995,Bantam,54
9679787834,Vermillion eye: A chiller of a thriller that will shock you to the bone,Halim,2000,Pelanduk Publications,26
0609605623,You're Fifty--Now What?: Investing for the Second Half of Your Life,Charles R. Schwab,2000,Crown Business,85
0451195507,Judging Time (April Woo Suspense Novels (Paperback)),Leslie Glass,1999,Signet Book,75
0061012289,A Secret Affair,Barbara Taylor Bradford,1997,HarperTorch,83
0451195493,Suspicion of Deceit,Barbara Parker,1999,Signet Book,68
0061092088,Dangerous to Know,Barbara Taylor Bradford,1996,HarperTorch,92
0425162788,Politika (Tom Clancy's Power Plays (Paperback)),Tom Clancy,1999,Berkley Publishing Group,56
0451208811,Blood Orchid,Stuart Woods,2003,Signet Book,26
3404920910,Im Wald der gehenkten F�?¼chse.,Arto Paasilinna,2001,L�?¼bbe,6
2070419878,Novecento : Pianiste,Alessandro Baricco,2002,Gallimard,81
0345342968,Fahrenheit 451,RAY BRADBURY,1987,Del Rey,46
0192860925,The Selfish Gene,Richard Dawkins,1990,Oxford University Press,94
0812550706,Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,1994,Tor Books,5
0553580302,House Harkonnen (Dune: House Trilogy, Book 2),Brian Herbert,2001,23
0441102670,Chapterhouse Dune (Dune Chronicles, Book 6),Frank Herbert,1996,26
0441328008,Heretics of Dune (Dune Chronicles, Book 5),Frank Herbert,1996,64
0441294677,God Emperor of Dune (Dune Chronicles, Book 4),Frank Herbert,1991,82
0441104029,Children of Dune (Dune Chronicles, Book 3),Frank Herbert,1991,77
0345443683,Blackwood Farm (Rice, Anne, Vampire Chronicles.),ANNE RICE,99
0061012149,Serpico,Peter Maas,1997,HarperTorch,10
0890420254,Diagnostic and Statistical Manual of Mental Disorders DSM-IV-TR (Text Revision),American Psychiatric Association,2000,American Psychiatric Association,15
0345378482,The Andromeda Strain,MICHAEL CRICHTON,1992,Ballantine Books,51
0671758896,Loves Music, Loves to Dance,Mary Higgins Clark,1992,24
0345348109,The Killer Angels,Michael Shaara,1993,Ballantine Books,56
0451177096,Dolores Claiborne,Stephen King,2004,Signet Book,2
0778800229,America's Best Slow Cooker Recipes,Donna-Marie Pye,2000,Robert Rose,77
0345422384,Pandora: New Tales of the Vampires (New Tales of the Vampires),Anne Rice,1999,Ballantine Books,78
0441328091,The Hero and the Crown,Robin McKinley,1989,ACE Charter,67
0684818868,Lies My Teacher Told Me : Everything Your American History Textbook Got Wrong,James W. Loewen,1996,Touchstone,91
0525463313,Pooh's Little Book of Feng Shui,Anna Ludlow,2000,Dutton Books,12
0812513754,Lord of Chaos (The Wheel of Time, Book 6),Robert Jordan,1995,10
0812550307,The Fires of Heaven (The Wheel of Time, Book 5),Robert Jordan,1994,33
0812513738,The Shadow Rising (The Wheel of Time, Book 4),Robert Jordan,1993,15
0312852487,The Dragon Reborn (The Wheel of Time, Book 3),Robert Jordan,1991,38
0765348446,New Threads in the Pattern: The Great Hunt, Part 2 (The Wheel of Time, Book 2),Robert Jordan,87
0765348438,The Hunt Begins: The Great Hunt, Part 1 (The Wheel of Time, Book 2, Part 1),21
0812511816,The Eye of the World (The Wheel of Time, Book 1),Robert Jordan,1990,85
0871401185,Introductory Lectures on Psychoanalysis,Sigmund Freud,1989,Liveright Publishing Corporation,96
0394712447,The Method of Zen,EUGEN HERRIGEL,1974,Vintage,30
0671722727,King Lear,William Shakespeare,1993,Washington Square Press,81
0385029551,Confessions of Saint Augustine (Image Book),St. Augustine,1960,Image,84
0070419361,The Individual In A Social World: Essays and Experiments,Stanley  Milgram,1992,McGraw-Hill Humanities/Social Sciences/Languages,93
1929194196,Sun Tzu's The Art of War Plus The Original Chinese Revealed,Sun Tzu,2003,Clearbridge Publishing,21
0553351702,The Book of Five Rings,Miyamoto Musashi,1992,Bantam,4
0285632655,Archery Anatomy: An Introduction to Techniques for Improved Performance,Ray Axford,1996,Souvenir Press,14
0804832463,One Arrow, One Life: Zen, Archery, Enlightenment,96
0375705090,Zen in the Art of Archery (Vintage Spiritual Classics),EUGEN HERRIGEL,1999,Vintage,67
0312269587,Plane Insanity: A Flight Attendant's Tales of Sex, Rage, and Queasiness at 30,000 Feet,59
0099244926,The Street Lawyer,John Grisham,1999,Random House Uk Ltd,14
0340612843,Love Me Tender (Starlight),Libby Hathorn,0,Hodder Headline Australia,41
0413588106,Growing Pains of Adrian Mole,Sue Townsend,0,Methuen Publishing Ltd,24
009945520X,How to Make Square Eggs,Paul Temple,1986,Random House Children's Books (A Division of Random House Group),60
0702228842,A Bridge to Wiseman's Cove (Uqp Young Adult Fiction),James Moloney,1997,Intl Specialized Book Service Inc,24
0880385367,Starsong (Tsr Books),Dan Parkinson,1988,Wizards of the Coast,27
0812515609,People of the Mist (The First North Americans series, Book 9),Kathleen O'Neal Gear,1998,93
0451183681,Harm's Way,Stephen White,1997,Signet Book,70
3502517959,Die Spinne und das M�?¤dchen.,Sophie Schallingher,2001,Scherz,29
3442424623,Die Bildhauerin.,Minette Walters,1996,Goldmann,94
